system:index,Lat,Long,Z,.geo
00000000000000001a3a,-25.634,-48.357,-12.257494,"{""type"":""Point"",""coordinates"":[-48.35716728419917,-25.634466758746505]}"
00000000000000001a3b,-25.634,-48.355,-12.317701,"{""type"":""Point"",""coordinates"":[-48.35464343300292,-25.634466758746505]}"
00000000000000001a3d,-25.634,-48.342,-12.841806,"{""type"":""Point"",""coordinates"":[-48.34201079971851,-25.634466758746505]}"
00000000000000001a3f,-25.634,-48.339,-12.843638,"{""type"":""Point"",""coordinates"":[-48.3394824894212,-25.634466758746505]}"
00000000000000001a41,-25.634,-48.347,-12.982444,"{""type"":""Point"",""coordinates"":[-48.34706296121206,-25.634466758746505]}"
00000000000000001a43,-25.634,-48.345,-13.172704,"{""type"":""Point"",""coordinates"":[-48.34453465091476,-25.634466758746502]}"
00000000000000001a45,-25.634,-48.332,-13.340556,"{""type"":""Point"",""coordinates"":[-48.33190201763034,-25.634466758746505]}"
00000000000000001a47,-25.634,-48.329,-12.832505,"{""type"":""Point"",""coordinates"":[-48.32937370733305,-25.634466758746505]}"
00000000000000001a49,-25.634,-48.337,-12.91866,"{""type"":""Point"",""coordinates"":[-48.3369541791239,-25.634466758746505]}"
00000000000000001a4b,-25.634,-48.334,-13.513606,"{""type"":""Point"",""coordinates"":[-48.33443032792765,-25.634466758746502]}"
00000000000000001a4d,-25.634,-48.322,-13.323454,"{""type"":""Point"",""coordinates"":[-48.321793235542195,-25.634466758746502]}"
00000000000000001a4f,-25.634,-48.319,-13.481161,"{""type"":""Point"",""coordinates"":[-48.31926938434593,-25.634466758746505]}"
00000000000000001a51,-25.634,-48.327,-12.88865,"{""type"":""Point"",""coordinates"":[-48.32684985613679,-25.634466758746505]}"
00000000000000001a53,-25.634,-48.324,-13.041398,"{""type"":""Point"",""coordinates"":[-48.32432154583949,-25.634466758746505]}"
00000000000000001a55,-25.634,-48.393,-11.072258,"{""type"":""Point"",""coordinates"":[-48.392541332856155,-25.634466758746505]}"
00000000000000001a56,-25.634,-48.39,-11.287134,"{""type"":""Point"",""coordinates"":[-48.39001748165992,-25.634466758746505]}"
00000000000000001a57,-25.634,-48.398,-10.682482,"{""type"":""Point"",""coordinates"":[-48.397593494349714,-25.634466758746502]}"
00000000000000001a58,-25.634,-48.395,-10.897141,"{""type"":""Point"",""coordinates"":[-48.39506964315347,-25.634466758746502]}"
00000000000000001a59,-25.634,-48.382,-12.302699,"{""type"":""Point"",""coordinates"":[-48.38243700986905,-25.634466758746502]}"
00000000000000001a5b,-25.634,-48.38,-12.286368,"{""type"":""Point"",""coordinates"":[-48.37990869957175,-25.634466758746502]}"
00000000000000001a5d,-25.634,-48.387,-11.712485,"{""type"":""Point"",""coordinates"":[-48.3874891713626,-25.634466758746505]}"
00000000000000001a5e,-25.634,-48.385,-12.15726,"{""type"":""Point"",""coordinates"":[-48.3849608610653,-25.634466758746505]}"
00000000000000001a5f,-25.634,-48.372,-12.179242,"{""type"":""Point"",""coordinates"":[-48.3723282277809,-25.634466758746505]}"
00000000000000001a61,-25.634,-48.37,-12.086583,"{""type"":""Point"",""coordinates"":[-48.36979991748358,-25.634466758746502]}"
00000000000000001a63,-25.634,-48.377,-12.318756,"{""type"":""Point"",""coordinates"":[-48.37738038927444,-25.634466758746502]}"
00000000000000001a65,-25.634,-48.375,-12.084442,"{""type"":""Point"",""coordinates"":[-48.37485653807819,-25.634466758746505]}"
00000000000000001a67,-25.634,-48.362,-12.152507,"{""type"":""Point"",""coordinates"":[-48.36222390479378,-25.634466758746502]}"
00000000000000001a69,-25.634,-48.36,-12.192807,"{""type"":""Point"",""coordinates"":[-48.35969559449647,-25.634466758746502]}"
00000000000000001a6b,-25.634,-48.367,-12.131309,"{""type"":""Point"",""coordinates"":[-48.367276066287324,-25.634466758746505]}"
00000000000000001a6d,-25.634,-48.365,-12.135653,"{""type"":""Point"",""coordinates"":[-48.36474775599003,-25.634466758746505]}"
00000000000000001a6f,-25.634,-48.271,-16.270037,"{""type"":""Point"",""coordinates"":[-48.271262702404535,-25.634466758746502]}"
00000000000000001a71,-25.634,-48.269,-15.697169,"{""type"":""Point"",""coordinates"":[-48.268734392107234,-25.634466758746505]}"
00000000000000001a73,-25.634,-48.276,-16.355835,"{""type"":""Point"",""coordinates"":[-48.276314863898094,-25.634466758746502]}"
00000000000000001a75,-25.634,-48.274,-17.29366,"{""type"":""Point"",""coordinates"":[-48.27379101270184,-25.634466758746502]}"
00000000000000001a77,-25.634,-48.261,-16.484846,"{""type"":""Point"",""coordinates"":[-48.26115392031638,-25.634466758746505]}"
00000000000000001a78,-25.634,-48.259,-16.52379,"{""type"":""Point"",""coordinates"":[-48.25863006912012,-25.634466758746502]}"
00000000000000001a79,-25.634,-48.266,-15.83024,"{""type"":""Point"",""coordinates"":[-48.26621054091098,-25.634466758746502]}"
00000000000000001a7a,-25.634,-48.264,-16.36313,"{""type"":""Point"",""coordinates"":[-48.26368223061368,-25.634466758746505]}"
00000000000000001a7b,-25.634,-48.251,-16.034493,"{""type"":""Point"",""coordinates"":[-48.251049597329256,-25.634466758746505]}"
00000000000000001a7c,-25.634,-48.249,-16.07288,"{""type"":""Point"",""coordinates"":[-48.248521287031956,-25.634466758746505]}"
00000000000000001a7d,-25.634,-48.256,-16.663393,"{""type"":""Point"",""coordinates"":[-48.256101758822815,-25.634466758746502]}"
00000000000000001a7e,-25.634,-48.254,-16.477331,"{""type"":""Point"",""coordinates"":[-48.253573448525515,-25.634466758746502]}"
00000000000000001a7f,-25.634,-48.241,-15.520114,"{""type"":""Point"",""coordinates"":[-48.2409408152411,-25.634466758746505]}"
